count,word,rank,cumulative_fraction
30895,tía,988,0.777
30882,abuelo,989,0.777
30864,salud,990,0.7771
30809,señal,991,0.7772
30793,ante,992,0.7773
30777,honor,993,0.7774
30763,mayoría,994,0.7775
30753,llamas,995,0.7776
30734,conocido,996,0.7777
30689,escena,997,0.7778
30673,vieja,998,0.7778
30654,peter,999,0.7779
